# Mwm name	Generation time
Burkina Faso	3940.904712
France_Poitou-Charentes_Vienne	3938.419216
Germany_Mecklenburg-Vorpommern	3936.342139
Philippines_Luzon_Manila	3924.951963
US_Oklahoma_Oklahoma	3916.112697
Germany_Free State of Bavaria_Upper Bavaria_Ingolstadt	3900.8861049999996
US_Kentucky_East	3897.413584
Indonesia_Central	3865.495089
Slovakia_Region of Kosice	3862.9184480000004
Germany_Lower Saxony_Bremen_Munster	3861.241729
Canada_Alberta_South	3857.728177
Poland_Lubusz Voivodeship	3833.013406
Czech_Praha	3832.442919
Austria_Upper Austria_Linz	3812.179394
UK_Northern Ireland	3791.008742
Bolivia_South	3743.186436
Italy_Lazio	3730.3816869999996
Malaysia	3718.2584850000003
France_Midi-Pyrenees_Aveyron	3707.680866
US_Georgia_South	3686.9262390000004
US_Ohio_Toledo	3675.885351
China_Zhejiang	3671.8517620000002
Algeria_Coast	3654.2771329999996
Czech_Olomoucky kraj	3647.644674
Russia_Krasnodar Krai	3620.742517
Italy_Lombardy_Milan	3612.071383
Norway_Southern	3605.972028
Thailand_North	3598.882756
Czech_Jihozapad_Jihocesky kraj	3588.4990930000004
US_Arkansas_South	3585.513086
France_Aquitaine_Dordogne	3580.8804459999997
France_Ile-de-France_Yvelines	3574.809993
Slovenia_West	3572.72043
France_Lorraine_Meurthe-et-Moselle	3571.2944310000003
Czech_Stredni Cechy_East	3569.185012
New Zealand North_Wellington	3568.576271
United Arab Emirates	3567.9999510000002
Spain_Galicia_North	3563.771662
US_Nebraska_West	3548.254859
Slovakia_Region of Presov	3510.1539150000003
Germany_North Rhine-Westphalia_Regierungsbezirk Munster_Munster	3505.029533
Czech_Ustecky kraj	3489.5546590000004
US_Arizona_Tucson	3482.703669
Russia_Volgograd Oblast	3481.374377
France_Burgundy_Yonne	3471.487713
Sweden_Vastra Gotaland	3463.087148
US_Minnesota_Rochester	3458.477589
US_North Carolina_Asheville	3391.676326
France_Rhone-Alpes_Isere	3391.662324
Germany_Schleswig-Holstein_Kiel	3381.363534
Canada_British Columbia_Vancouver	3371.150012
Romania_South	3362.676854
US_Kentucky_West	3320.111481
Spain_Andalusia_Granada	3319.343386
Poland_Warmian-Masurian Voivodeship	3308.201133
Chile_South	3284.32089
Japan_Kyushu Region_Fukuoka	3250.1300990000004
France_Poitou-Charentes_Charente	3247.074724
Netherlands_Flevoland	3220.293666
Canada_Alberta_Edmonton	3214.45861
Russia_Chelyabinsk Oblast	3208.0444490000004
Poland_Opole Voivodeship	3203.526076
Slovakia_Region of Zilina	3199.927491
Austria_Upper Austria_Wels	3186.0673020000004
France_Ile-de-France_Essonne	3182.941167
Niger	3105.5220670000003
Spain_Galicia_South	3100.875747
France_Ile-de-France_Val-de-Marne	3097.656917
Colombia_North	3065.3128049999996
US_Iowa_Des Moines	3057.851078
US_California_Bakersfield_Lancaster	3051.690059
Japan_Shikoku Region_Kyoto	3046.71156
Brazil_Parana_West	3031.516897
Netherlands_Drenthe	3018.507184
Finland_Western Finland_Tampere	3013.885568
Germany_Saxony-Anhalt_Magdeburg	3001.089558
India_Jharkhand	2976.2937260000003
Japan_Kanto_Ibaraki	2973.839314
Italy_Sardinia	2973.3947620000004
Ghana	2967.877142
Denmark_Region Zealand	2958.3170250000003
France_Brittany_Finistere	2952.8034979999998
UK_England_South West England_Cornwall	2950.162865
Ukraine_Kyiv Oblast	2943.9662439999997
Czech_Jihovychod_Kraj Vysocina	2943.285069
Czech_Severovychod_Pardubicky kraj	2939.05835
Ukraine_Lviv Oblast	2932.929901
US_Louisiana_Central	2925.237075
US_Iowa_Waterloo	2912.940328
US_New Hampshire	2908.115064
Austria_Burgenland	2885.682706
Czech_Jihozapad_Plzensky kraj	2881.621954
Russia_Bashkortostan	2877.070976
Argentina_Santa Fe	2875.980287
Germany_Saarland	2860.372449
Brazil_Goias_Brasilia	2859.9123299999997
France_Burgundy_Cote-dOr	2850.547193
US_Illinois_South	2849.848822
Russia_Saint Petersburg	2849.464692
Russia_Moscow Oblast_West	2846.578539
South Africa_Limpopo	2840.226279
US_Iowa_West	2838.584278
Latvia	2833.395286
Belarus_Minsk Region	2814.8622920000003
France_Brittany_Morbihan	2796.068018
France_Aquitaine_Lot-et-Garonne	2793.4740659999998
Greece_Decentralized Administration of Thessaly - Central Greece	2782.9245389999996
US_Arizona_Flagstaff	2779.722166
Brazil_Southeast Region_Espirito Santo	2778.676774
France_Auvergne_Allier	2778.3900780000004
US_Georgia_North	2774.497372
Poland_Podlaskie Voivodeship	2770.363955
France_Languedoc-Roussillon_Aude	2765.030127
France_Rhone-Alpes_Haute-Savoie	2764.678968
Saudi Arabia_South	2764.244217
